# Geant4 Stopping Power Data
# Particle: proton
# Material: water
# Physics Model: EM_option4
# Density: 1.0 g/cm³
#
# Energy units: MeV
# dE/dx units: MeV/cm
# Mass dE/dx units: MeV·cm²/g
#
   Energy (MeV)     Total dE/dx (MeV/cm)      Total Mass dE/dx (MeV cm^2/g)
---------------------------------------------------------------------------
         0.1000                 672.4293                           672.4293
         0.2000                 553.2125                           553.2125
         0.3000                 452.4535                           452.4535
         0.4000                 383.2777                           383.2777
         0.5000                 333.5076                           333.5076
         0.6000                 295.9581                           295.9581
         0.7000                 266.5447                           266.5447
         0.8000                 242.8196                           242.8196
         0.9000                 223.2328                           223.2328
         1.0000                 206.7560                           206.7560
         1.1000                 192.6794                           192.6794
         1.2000                 180.4968                           180.4968
         1.3000                 169.8369                           169.8369
         1.4000                 160.4211                           160.4211
         1.5000                 152.0357                           152.0357
         1.6000                 144.5143                           144.5143
         1.7000                 137.7250                           137.7250
         1.8000                 131.5620                           131.5620
         1.9000                 125.9390                           125.9390
         2.0000                 119.5776                           119.5776
         2.1000                 115.2374                           115.2374
         2.2000                 111.2307                           111.2307
         2.3000                 107.5192                           107.5192
         2.4000                 104.0704                           104.0704
         2.5000                 100.8563                           100.8563
         2.6000                  97.8530                            97.8530
         2.7000                  95.0397                            95.0397
         2.8000                  92.3984                            92.3984
         2.9000                  89.9131                            89.9131
         3.0000                  87.5701                            87.5701
         3.1000                  85.3570                            85.3570
         3.2000                  83.2629                            83.2629
         3.3000                  81.2782                            81.2782
         3.4000                  79.3943                            79.3943
         3.5000                  77.6033                            77.6033
         3.6000                  75.8984                            75.8984
         3.7000                  74.2733                            74.2733
         3.8000                  72.7224                            72.7224
         3.9000                  71.2404                            71.2404
         4.0000                  69.8228                            69.8228
         4.1000                  68.4653                            68.4653
         4.2000                  67.1640                            67.1640
         4.3000                  65.9155                            65.9155
         4.4000                  64.7164                            64.7164
         4.5000                  63.5638                            63.5638
         4.6000                  62.4549                            62.4549
         4.7000                  61.3873                            61.3873
         4.8000                  60.3585                            60.3585
         4.9000                  59.3665                            59.3665
         5.0000                  58.4092                            58.4092
         5.1000                  57.4848                            57.4848
         5.2000                  56.5915                            56.5915
         5.3000                  55.7278                            55.7278
         5.4000                  54.8922                            54.8922
         5.5000                  54.0833                            54.0833
         5.6000                  53.2998                            53.2998
         5.7000                  52.5404                            52.5404
         5.8000                  51.8040                            51.8040
         5.9000                  51.0897                            51.0897
         6.0000                  50.3962                            50.3962
         6.1000                  49.7229                            49.7229
         6.2000                  49.0686                            49.0686
         6.3000                  48.4327                            48.4327
         6.4000                  47.8143                            47.8143
         6.5000                  47.2127                            47.2127
         6.6000                  46.6272                            46.6272
         6.7000                  46.0571                            46.0571
         6.8000                  45.5019                            45.5019
         6.9000                  44.9608                            44.9608
         7.0000                  44.4335                            44.4335
         7.1000                  43.9193                            43.9193
         7.2000                  43.4177                            43.4177
         7.3000                  42.9283                            42.9283
         7.4000                  42.4506                            42.4506
         7.5000                  41.9842                            41.9842
         7.6000                  41.5287                            41.5287
         7.7000                  41.0837                            41.0837
         7.8000                  40.6488                            40.6488
         7.9000                  40.2237                            40.2237
         8.0000                  39.8080                            39.8080
         8.1000                  39.4014                            39.4014
         8.2000                  39.0036                            39.0036
         8.3000                  38.6144                            38.6144
         8.4000                  38.2333                            38.2333
         8.5000                  37.8603                            37.8603
         8.6000                  37.4949                            37.4949
         8.7000                  37.1371                            37.1371
         8.8000                  36.7864                            36.7864
         8.9000                  36.4428                            36.4428
         9.0000                  36.1060                            36.1060
         9.1000                  35.7758                            35.7758
         9.2000                  35.4520                            35.4520
         9.3000                  35.1343                            35.1343
         9.4000                  34.8227                            34.8227
         9.5000                  34.5170                            34.5170
         9.6000                  34.2169                            34.2169
         9.7000                  33.9223                            33.9223
         9.8000                  33.6331                            33.6331
         9.9000                  33.3492                            33.3492
        10.0000                  33.0702                            33.0702
        10.1000                  33.1437                            33.1437
        10.6000                  31.8741                            31.8741
        11.1000                  30.7075                            30.7075
        11.6000                  29.6316                            29.6316
        12.1000                  28.6359                            28.6359
        12.6000                  27.7115                            27.7115
        13.1000                  26.8508                            26.8508
        13.6000                  26.0474                            26.0474
        14.1000                  25.2955                            25.2955
        14.6000                  24.5903                            24.5903
        15.1000                  23.9274                            23.9274
        15.6000                  23.3031                            23.3031
        16.1000                  22.7139                            22.7139
        16.6000                  22.1570                            22.1570
        17.1000                  21.6296                            21.6296
        17.6000                  21.1295                            21.1295
        18.1000                  20.6545                            20.6545
        18.6000                  20.2028                            20.2028
        19.1000                  19.7726                            19.7726
        19.6000                  19.3624                            19.3624
        20.1000                  18.9708                            18.9708
        20.6000                  18.5966                            18.5966
        21.1000                  18.2385                            18.2385
        21.6000                  17.8956                            17.8956
        22.1000                  17.5668                            17.5668
        22.6000                  17.2513                            17.2513
        23.1000                  16.9484                            16.9484
        23.6000                  16.6571                            16.6571
        24.1000                  16.3769                            16.3769
        24.6000                  16.1072                            16.1072
        25.1000                  15.8472                            15.8472
        25.6000                  15.5966                            15.5966
        26.1000                  15.3548                            15.3548
        26.6000                  15.1213                            15.1213
        27.1000                  14.8957                            14.8957
        27.6000                  14.6777                            14.6777
        28.1000                  14.4667                            14.4667
        28.6000                  14.2625                            14.2625
        29.1000                  14.0648                            14.0648
        29.6000                  13.8732                            13.8732
        30.1000                  13.6874                            13.6874
        30.6000                  13.5072                            13.5072
        31.1000                  13.3324                            13.3324
        31.6000                  13.1626                            13.1626
        32.1000                  12.9978                            12.9978
        32.6000                  12.8375                            12.8375
        33.1000                  12.6818                            12.6818
        33.6000                  12.5303                            12.5303
        34.1000                  12.3829                            12.3829
        34.6000                  12.2394                            12.2394
        35.1000                  12.0997                            12.0997
        35.6000                  11.9636                            11.9636
        36.1000                  11.8310                            11.8310
        36.6000                  11.7017                            11.7017
        37.1000                  11.5756                            11.5756
        37.6000                  11.4527                            11.4527
        38.1000                  11.3327                            11.3327
        38.6000                  11.2156                            11.2156
        39.1000                  11.1013                            11.1013
        39.6000                  10.9896                            10.9896
        40.1000                  10.8805                            10.8805
        40.6000                  10.7739                            10.7739
        41.1000                  10.6697                            10.6697
        41.6000                  10.5678                            10.5678
        42.1000                  10.4681                            10.4681
        42.6000                  10.3707                            10.3707
        43.1000                  10.2753                            10.2753
        43.6000                  10.1819                            10.1819
        44.1000                  10.0905                            10.0905
        44.6000                  10.0010                            10.0010
        45.1000                   9.9133                             9.9133
        45.6000                   9.8275                             9.8275
        46.1000                   9.7433                             9.7433
        46.6000                   9.6608                             9.6608
        47.1000                   9.5800                             9.5800
        47.6000                   9.5007                             9.5007
        48.1000                   9.4230                             9.4230
        48.6000                   9.3467                             9.3467
        49.1000                   9.2719                             9.2719
        49.6000                   9.1985                             9.1985
        50.1000                   9.1264                             9.1264
        51.1000                   8.9863                             8.9863
        51.6000                   8.9181                             8.9181
        52.6000                   8.7853                             8.7853
        53.1000                   8.7207                             8.7207
        54.1000                   8.5947                             8.5947
        54.6000                   8.5334                             8.5334
        55.6000                   8.4138                             8.4138
        56.1000                   8.3554                             8.3554
        57.1000                   8.2416                             8.2416
        57.6000                   8.1861                             8.1861
        58.6000                   8.0778                             8.0778
        59.1000                   8.0249                             8.0249
        60.1000                   7.9215                             7.9215
        60.6000                   7.8710                             7.8710
        61.6000                   7.7724                             7.7724
        62.1000                   7.7242                             7.7242
        63.1000                   7.6299                             7.6299
        63.6000                   7.5838                             7.5838
        64.6000                   7.4936                             7.4936
        65.1000                   7.4495                             7.4495
        66.1000                   7.3631                             7.3631
        66.6000                   7.3208                             7.3208
        67.6000                   7.2380                             7.2380
        68.1000                   7.1974                             7.1974
        69.1000                   7.1180                             7.1180
        69.6000                   7.0791                             7.0791
        70.6000                   7.0028                             7.0028
        71.1000                   6.9654                             6.9654
        72.1000                   6.8921                             6.8921
        72.6000                   6.8561                             6.8561
        73.6000                   6.7856                             6.7856
        74.1000                   6.7510                             6.7510
        75.1000                   6.6831                             6.6831
        75.6000                   6.6498                             6.6498
        76.6000                   6.5844                             6.5844
        77.1000                   6.5523                             6.5523
        78.1000                   6.4893                             6.4893
        78.6000                   6.4583                             6.4583
        79.6000                   6.3975                             6.3975
        80.1000                   6.3677                             6.3677
        81.1000                   6.3090                             6.3090
        81.6000                   6.2801                             6.2801
        82.6000                   6.2234                             6.2234
        83.1000                   6.1956                             6.1956
        84.1000                   6.1408                             6.1408
        84.6000                   6.1138                             6.1138
        85.6000                   6.0608                             6.0608
        86.1000                   6.0348                             6.0348
        87.1000                   5.9835                             5.9835
        87.6000                   5.9583                             5.9583
        88.6000                   5.9087                             5.9087
        89.1000                   5.8843                             5.8843
        90.1000                   5.8362                             5.8362
        90.6000                   5.8125                             5.8125
        91.6000                   5.7659                             5.7659
        92.1000                   5.7430                             5.7430
        93.1000                   5.6978                             5.6978
        93.6000                   5.6756                             5.6756
        94.6000                   5.6318                             5.6318
        95.1000                   5.6102                             5.6102
        96.1000                   5.5677                             5.5677
        96.6000                   5.5467                             5.5467
        97.6000                   5.5054                             5.5054
        98.1000                   5.4851                             5.4851
        99.1000                   5.4450                             5.4450
        99.6000                   5.4252                             5.4252
       100.6000                   5.3855                             5.3855
       101.1000                   5.3657                             5.3657
       102.1000                   5.3266                             5.3266
       102.6000                   5.3074                             5.3074
       103.6000                   5.2694                             5.2694
       104.1000                   5.2506                             5.2506
       105.1000                   5.2136                             5.2136
       105.6000                   5.1954                             5.1954
       106.6000                   5.1594                             5.1594
       107.1000                   5.1417                             5.1417
       108.1000                   5.1066                             5.1066
       108.6000                   5.0893                             5.0893
       109.6000                   5.0551                             5.0551
       110.1000                   5.0383                             5.0383
       111.1000                   5.0050                             5.0050
       111.6000                   4.9886                             4.9886
       112.6000                   4.9561                             4.9561
       113.1000                   4.9401                             4.9401
       114.1000                   4.9085                             4.9085
       114.6000                   4.8929                             4.8929
       115.6000                   4.8620                             4.8620
       116.1000                   4.8468                             4.8468
       117.1000                   4.8167                             4.8167
       117.6000                   4.8018                             4.8018
       118.6000                   4.7724                             4.7724
       119.1000                   4.7579                             4.7579
       120.1000                   4.7292                             4.7292
       120.6000                   4.7150                             4.7150
       121.6000                   4.6870                             4.6870
       122.1000                   4.6731                             4.6731
       123.1000                   4.6457                             4.6457
       123.6000                   4.6322                             4.6322
       124.6000                   4.6054                             4.6054
       125.1000                   4.5922                             4.5922
       126.1000                   4.5661                             4.5661
       126.6000                   4.5531                             4.5531
       127.6000                   4.5276                             4.5276
       128.1000                   4.5149                             4.5149
       129.1000                   4.4899                             4.4899
       129.6000                   4.4775                             4.4775
       130.6000                   4.4531                             4.4531
       131.1000                   4.4410                             4.4410
       132.1000                   4.4171                             4.4171
       132.6000                   4.4052                             4.4052
       133.6000                   4.3818                             4.3818
       134.1000                   4.3702                             4.3702
       135.1000                   4.3473                             4.3473
