# Geant4 Stopping Power Data
# Particle: proton
# Material: water
# Physics Model: FTFP_BERT
# Density: 1.0 g/cm³
#
# Energy units: MeV
# dE/dx units: MeV/cm
# Mass dE/dx units: MeV·cm²/g
#
   Energy (MeV)     Total dE/dx (MeV/cm)      Total Mass dE/dx (MeV cm^2/g)
---------------------------------------------------------------------------
         0.1000                 648.3989                           648.3989
         0.2000                 534.4241                           534.4241
         0.3000                 437.8950                           437.8950
         0.4000                 371.6338                           371.6338
         0.5000                 323.9788                           323.9788
         0.6000                 288.0407                           288.0407
         0.7000                 259.9024                           259.9024
         0.8000                 237.2160                           237.2160
         0.9000                 218.4954                           218.4954
         1.0000                 202.7543                           202.7543
         1.1000                 189.3122                           189.3122
         1.2000                 177.6839                           177.6839
         1.3000                 167.5134                           167.5134
         1.4000                 158.5338                           158.5338
         1.5000                 150.5403                           150.5403
         1.6000                 143.3734                           143.3734
         1.7000                 136.9069                           136.9069
         1.8000                 131.0392                           131.0392
         1.9000                 125.6880                           125.6880
         2.0000                 120.7855                           120.7855
         2.1000                 116.4163                           116.4163
         2.2000                 112.3829                           112.3829
         2.3000                 108.6469                           108.6469
         2.4000                 105.1753                           105.1753
         2.5000                 101.9401                           101.9401
         2.6000                  98.9172                            98.9172
         2.7000                  96.0856                            96.0856
         2.8000                  93.4271                            93.4271
         2.9000                  90.9258                            90.9258
         3.0000                  88.5677                            88.5677
         3.1000                  86.3405                            86.3405
         3.2000                  84.2330                            84.2330
         3.3000                  82.2358                            82.2358
         3.4000                  80.3399                            80.3399
         3.5000                  78.5377                            78.5377
         3.6000                  76.8221                            76.8221
         3.7000                  75.1869                            75.1869
         3.8000                  73.6263                            73.6263
         3.9000                  72.1352                            72.1352
         4.0000                  70.7089                            70.7089
         4.1000                  69.3431                            69.3431
         4.2000                  68.0339                            68.0339
         4.3000                  66.7777                            66.7777
         4.4000                  65.5714                            65.5714
         4.5000                  64.4118                            64.4118
         4.6000                  63.2963                            63.2963
         4.7000                  62.2223                            62.2223
         4.8000                  61.1874                            61.1874
         4.9000                  60.1895                            60.1895
         5.0000                  59.2266                            59.2266
         5.1000                  58.2968                            58.2968
         5.2000                  57.3983                            57.3983
         5.3000                  56.5296                            56.5296
         5.4000                  55.6892                            55.6892
         5.5000                  54.8756                            54.8756
         5.6000                  54.0876                            54.0876
         5.7000                  53.3239                            53.3239
