# Geant4 Stopping Power Data
# Particle: proton
# Material: water
# Physics Model: FTFP_BERT
# Density: 1.0 g/cm³
#
# Energy units: MeV
# dE/dx units: MeV/cm
# Mass dE/dx units: MeV·cm²/g
#
   Energy (MeV)     Total dE/dx (MeV/cm)      Total Mass dE/dx (MeV cm^2/g)
---------------------------------------------------------------------------
         0.1000                 632.3787                           632.3787
         0.2000                 521.8986                           521.8986
         0.3000                 428.1894                           428.1894
         0.4000                 363.8712                           363.8712
         0.5000                 317.6262                           317.6262
         0.6000                 282.7625                           282.7625
         0.7000                 255.4742                           255.4742
         0.8000                 233.4804                           233.4804
         0.9000                 215.3371                           215.3371
         1.0000                 200.0865                           200.0865
         1.1000                 187.0674                           187.0674
         1.2000                 175.8086                           175.8086
         1.3000                 165.9644                           165.9644
         1.4000                 157.2755                           157.2755
         1.5000                 149.5433                           149.5433
         1.6000                 142.6128                           142.6128
         1.7000                 136.3614                           136.3614
         1.8000                 130.6907                           130.6907
         1.9000                 125.5206                           125.5206
         2.0000                 120.7855                           120.7855
         2.1000                 116.4308                           116.4308
         2.2000                 112.4111                           112.4111
         2.3000                 108.6876                           108.6876
         2.4000                 105.2279                           105.2279
         2.5000                 102.0039                           102.0039
         2.6000                  98.9914                            98.9914
         2.7000                  96.1697                            96.1697
         2.8000                  93.5206                            93.5206
         2.9000                  91.0282                            91.0282
         3.0000                  88.6786                            88.6786
         3.1000                  86.4593                            86.4593
         3.2000                  84.3596                            84.3596
         3.3000                  82.3696                            82.3696
         3.4000                  80.4808                            80.4808
         3.5000                  78.6852                            78.6852
         3.6000                  76.9761                            76.9761
         3.7000                  75.3470                            75.3470
         3.8000                  73.7923                            73.7923
         3.9000                  72.3069                            72.3069
         4.0000                  70.8861                            70.8861
         4.1000                  69.5256                            69.5256
         4.2000                  68.2215                            68.2215
         4.3000                  66.9703                            66.9703
         4.4000                  65.7687                            65.7687
         4.5000                  64.6138                            64.6138
         4.6000                  63.5027                            63.5027
         4.7000                  62.4330                            62.4330
         4.8000                  61.4023                            61.4023
         4.9000                  60.4085                            60.4085
         5.0000                  59.4496                            59.4496
         5.1000                  58.5236                            58.5236
         5.2000                  57.6288                            57.6288
         5.3000                  56.7638                            56.7638
         5.4000                  55.9269                            55.9269
         5.5000                  55.1167                            55.1167
         5.6000                  54.3321                            54.3321
         5.7000                  53.5716                            53.5716
         5.8000                  52.8343                            52.8343
         5.9000                  52.1190                            52.1190
         6.0000                  51.4247                            51.4247
         6.1000                  50.7506                            50.7506
         6.2000                  50.0956                            50.0956
         6.3000                  49.4590                            49.4590
         6.4000                  48.8399                            48.8399
         6.5000                  48.2377                            48.2377
         6.6000                  47.6517                            47.6517
         6.7000                  47.0811                            47.0811
         6.8000                  46.5254                            46.5254
         6.9000                  45.9840                            45.9840
         7.0000                  45.4562                            45.4562
         7.1000                  44.9417                            44.9417
         7.2000                  44.4398                            44.4398
         7.3000                  43.9501                            43.9501
